,,,,,,,Flood Characteristics,,,,Impact Category,,,Area,,,,,,,,,,
675,M675,1937,March,17,Fenlands (Cambridgeshire),Serious flooding causing extensive damage,Rainfall,T,1,MET,,,1,1,1,,,,,,,,,
676,M676,1937,April,0,,,,,,MET,,,,,,,,,,,,,,
677,M677,1937,May,0,,,,,,MET,,,,,,,,,,,,,,
678,M678,1937,June,0,,,,,,MET,,,,,,,,,,,,,,
679,M679,1937,July,0,,,,,,MET,,,,,,,,,,,,,,
680,M680,1937,August,0,[Unspecified],Serious & Widespread flooding with considerable damage,Thunderstorms,T,1,MET,,,1,,,,,,,,,,,1
681,M681,1937,September,0,,,,,,MET,,,,,,,,,,,,,,
682,M682,1937,October,0,,,,,,MET,,,,,,,,,,,,,,
683,M683,1937,November,0,,,,,,MET,,,,,,,,,,,,,,
684,M684,1937,December,0,,,,,,MET,,,,,,,,,,,,,,
685,M685,1938,January,0,,,,,,MET,,,,,,,,,,,,,,
686,M686,1938,February,0,Eastern coast of England,Serious,Gales & high Tides,C,1,MET,,,1,1,1,,,1,,,,1,,
687,M687,1938,March,0,,,,,,MET,,,,,,,,,,,,,,
688,M688,1938,April,0,,,,,,MET,,,,,,,,,,,,,,
689,M689,1938,May,0,,,,,,MET,,,,,,,,,,,,,,
690,M690,1938,June,0,,,,,,MET,,,,,,,,,,,,,,
691,M691,1938,July,0,,,,,,MET,,,,,,,,,,,,,,
692,M692,1938,August,0,,,,,,MET,,,,,,,,,,,,,,
693,M693,1938,September,0,,,,,,MET,,,,,,,,,,,,,,
694,M694,1938,October,0,,,,,,MET,,,,,,,,,,,,,,
695,M695,1938,November,0,,,,,,MET,,,,,,,,,,,,,,
696,M696,1938,December,0,,,,,,MET,,,,,,,,,,,,,,
697,M697,1939,January,0,England & Wales,Serious,Excessive Rainfall,T,1,MET,,,1,1,1,1,1,1,1,,,1,1,
698,M698,1939,February,0,,,,,,MET,,,,,,,,,,,,,,
699,M699,1939,March,0,,,,,,MET,,,,,,,,,,,,,,
700,M700,1939,April,0,,,,,,MET,,,,,,,,,,,,,,
701,M701,1939,May,0,,,,,,MET,,,,,,,,,,,,,,
702,M702,1939,June,0,,,,,,MET,,,,,,,,,,,,,,
703,M703,1939,July,0,England & Wales,Localised flooding in low-lying districts,Thunderstorms,T,1,MET,1,,,1,1,1,1,1,1,,,1,1,
704,M704,1939,August,0,,,,,,MET,,,,,,,,,,,,,,
705,M705,1939,September,0,Islay (Scotland),Worst experienced on the island,Unusually Heavy Rainfall,T,1,MET,,1,,,,,,,,,1,,,
706,M706,1939,October,0,,,,,,MET,,,,,,,,,,,,,,
707,M707,1939,November,0,,,,,,MET,,,,,,,,,,,,,,
708,M708,1939,December,0,,,,,,MET,,,,,,,,,,,,,,
709,M709,1940,January,0,,,,,,MET,,,,,,,,,,,,,,
710,M710,1940,February,0,,,,,,MET,,,,,,,,,,,,,,
711,M711,1940,March,0,,,,,,MET,,,,,,,,,,,,,,
712,M712,1940,April,0,,,,,,MET,,,,,,,,,,,,,,
713,M713,1940,May,0,,,,,,MET,,,,,,,,,,,,,,
714,M714,1940,June,0,,,,,,MET,,,,,,,,,,,,,,
715,M715,1940,July,0,,,,,,MET,,,,,,,,,,,,,,
716,M716,1940,August,0,,,,,,MET,,,,,,,,,,,,,,
717,M717,1940,September,0,,,,,,MET,,,,,,,,,,,,,,
718,M718,1940,October,0,,,,,,MET,,,,,,,,,,,,,,
719,M719,1940,November,0,,,,,,MET,,,,,,,,,,,,,,
720,M720,1940,December,0,,,,,,MET,,,,,,,,,,,,,,
721,M721,1941,January,0,,,,,,MET,,,,,,,,,,,,,,
722,M722,1941,February,0,,,,,,MET,,,,,,,,,,,,,,
723,M723,1941,March,0,,,,,,MET,,,,,,,,,,,,,,
724,M724,1941,April,0,,,,,,MET,,,,,,,,,,,,,,
725,M725,1941,May,0,,,,,,MET,,,,,,,,,,,,,,
726,M726,1941,June,0,,,,,,MET,,,,,,,,,,,,,,
727,M727,1941,July,0,Southport (Merseyside) & Penn (Buckinghamshire) & others,Considerable damage,Thunderstorms,T,1,MET,1,,,1,,,,,1,,,1,,
728,M728,1941,August,0,,,,,,MET,,,,,,,,,,,,,,
729,M729,1941,September,0,,,,,,MET,,,,,,,,,,,,,,
730,M730,1941,October,0,,,,,,MET,,,,,,,,,,,,,,
731,M731,1941,November,0,,,,,,MET,,,,,,,,,,,,,,
732,M732,1941,December,0,,,,,,MET,,,,,,,,,,,,,,
733,M733,1942,January,0,,,,,,MET,,,,,,,,,,,,,,
734,M734,1942,February,0,,,,,,MET,,,,,,,,,,,,,,
735,M735,1942,March,0,,,,,,MET,,,,,,,,,,,,,,
736,M736,1942,April,0,,,,,,MET,,,,,,,,,,,,,,
737,M737,1942,May,0,,,,,,MET,,,,,,,,,,,,,,
738,M738,1942,June,0,,,,,,MET,,,,,,,,,,,,,,
739,M739,1942,July,0,,,,,,MET,,,,,,,,,,,,,,
740,M740,1942,August,0,,,,,,MET,,,,,,,,,,,,,,
741,M741,1942,September,0,Western & Northern Scotland & Lake District,Serious Localised flooding,Heavy Rainfall,T,1,MET,,,1,1,,,,,1,,1,,,
742,M742,1942,October,0,,,,,,MET,,,,,,,,,,,,,,
743,M743,1942,November,0,,,,,,MET,,,,,,,,,,,,,,
744,M744,1942,December,0,Portland (Dorset) & Aberystwyth & Solway Firth,Considerable damage & extensive flooding & some loss of life,Unusually high tidal waves,C,1,MET,,,1,1,,1,,,1,,1,,1,
745,M745,1943,January,0,Northern Ireland,Considerable flooding,Heavy Rainfall,T,1,MET,1,,,,,,,,,1,,,,
746,M746,1943,February,0,,,,,,MET,,,,,,,,,,,,,,
747,M747,1943,March,0,,,,,,MET,,,,,,,,,,,,,,
748,M748,1943,April,0,,,,,,MET,,,,,,,,,,,,,,
749,M749,1943,May,0,,,,,,MET,,,,,,,,,,,,,,
750,M750,1943,June,0,,,,,,MET,,,,,,,,,,,,,,
751,M751,1943,July,0,,,,,,MET,,,,,,,,,,,,,,
752,M752,1943,August,0,,,,,,MET,,,,,,,,,,,,,,
753,M753,1943,September,0,England & Wales & Scotland,Considerable flooding,Severe & Widespread Thunderstorms,T,1,MET,1,,,1,1,1,1,1,1,,1,1,1,
754,M754,1943,October,0,Western Scotland,Considerable flooding,Unusually Heavy Rainfall,T,1,MET,1,,,,,,,,,,1,,,
755,M755,1943,November,0,,,,,,MET,,,,,,,,,,,,,,
756,M756,1943,December,0,,,,,,MET,,,,,,,,,,,,,,
757,M757,1944,January,0,,,,,,MET,,,,,,,,,,,,,,
758,M758,1944,February,0,,,,,,MET,,,,,,,,,,,,,,
759,M759,1944,March,0,,,,,,MET,,,,,,,,,,,,,,
760,M760,1944,April,0,,,,,,MET,,,,,,,,,,,,,,
761,M761,1944,May,0,Lanchashire & Cheshire & Northern Derbyshire & Western Yorkshire,Severe,Thunderstorms,T,1,MET,,1,,1,,,1,1,1,,,,,
762,M762,1944,June,0,,,,,,MET,,,,,,,,,,,,,,
763,M763,1944,July,0,,,,,,MET,,,,,,,,,,,,,,
764,M764,1944,August,0,,,,,,MET,,,,,,,,,,,,,,
765,M765,1944,September,0,,,,,,MET,,,,,,,,,,,,,,
766,M766,1944,October,0,,,,,,MET,,,,,,,,,,,,,,
767,M767,1944,November,0,,,,,,MET,,,,,,,,,,,,,,
768,M768,1944,December,0,,,,,,MET,,,,,,,,,,,,,,
769,M769,1945,January,0,,,,,,MET,,,,,,,,,,,,,,
770,M770,1945,February,0,,,,,,MET,,,,,,,,,,,,,,
771,M771,1945,March,0,,,,,,MET,,,,,,,,,,,,,,
772,M772,1945,April,0,,,,,,MET,,,,,,,,,,,,,,
773,M773,1945,May,0,,,,,,MET,,,,,,,,,,,,,,
774,M774,1945,June,0,,,,,,MET,,,,,,,,,,,,,,
775,M775,1945,July,0,England & Wales & Scotland,Damage to crops,Thunderstorms,T,1,MET,1,,,1,1,1,1,1,1,,1,1,1,
776,M776,1945,August,0,,,,,,MET,,,,,,,,,,,,,,
777,M777,1945,September,0,,,,,,MET,,,,,,,,,,,,,,
778,M778,1945,October,0,,,,,,MET,,,,,,,,,,,,,,
779,M779,1945,November,0,,,,,,MET,,,,,,,,,,,,,,
780,M780,1945,December,0,,,,,,MET,,,,,,,,,,,,,,
781,M781,1946,January,0,,,,,,MET,,,,,,,,,,,,,,
782,M782,1946,February,0,Wales & North-Western England & Midlands,Serious Localised flooding,Heavy Rainfall,T,1,MET,,,1,1,,1,1,,1,,,,,
783,M783,1946,March,0,,,,,,MET,,,,,,,,,,,,,,
784,M784,1946,April,0,,,,,,MET,,,,,,,,,,,,,,
785,M785,1946,May,0,,,,,,MET,,,,,,,,,,,,,,
786,M786,1946,June,0,England,Serious flooding in some areas,Thunderstorms & Heavy Rainfall,T,1,MET,,,1,1,1,,1,1,1,,,1,1,
787,M787,1946,July,0,England & Wales,Severe flooding & Serious damage,Severe & Widespread Thunderstorms & Heavy Rainfall,T,1,MET,,,1,1,1,1,1,1,1,,,1,1,
788,M788,1946,August,0,England & Wales,Serious flooding & damage to harvest,Heavy Rainfall,T,1,MET,,,1,1,1,1,1,1,1,,,1,1,
789,M789,1946,September,0,England & Wales,Serious flooding,Heavy Rainfall,T,1,MET,,,1,1,1,1,1,1,1,,,1,1,
790,M790,1946,October,0,,,,,,MET,,,,,,,,,,,,,,
791,M791,1946,November,0,Southern England & Wales,Serious flooding,Heavy Rainfall & high winds,T,1,MET,,,1,1,,1,,,,,,1,1,
792,M792,1946,December,0,,,,,,MET,,,,,,,,,,,,,,
793,M793,1947,January,0,,,,,,MET,,,,,,,,,,,,,,
794,M794,1947,February,0,,,,,,MET,,,,,,,,,,,,,,
795,M795,1947,March,0,England & Wales,Unprecedented floods over large areas,Snowmelt & frequent Rainfall,T,1,MET,1,,,1,1,1,1,1,1,,,1,1,
796,M796,1947,April,0,,,,,,MET,,,,,,,,,,,,,,
797,M797,1947,May,0,,,,,,MET,,,,,,,,,,,,,,
798,M798,1947,June,0,,,,,,MET,,,,,,,,,,,,,,
799,M799,1947,July,0,Perthshire (Scotland),Considerable flooding,Thunderstorm,T,1,MET,1,,,,,,,,,,1,,,
800,M800,1947,July,0,Ballykelly (NI),Serious flooding,Rainfall,T,1,MET,,,1,,,,,,,1,,,,
801,M801,1947,August,0,,,,,,MET,,,,,,,,,,,,,,
802,M802,1947,September,0,,,,,,MET,,,,,,,,,,,,,,
803,M803,1947,October,0,,,,,,MET,,,,,,,,,,,,,,
804,M804,1947,November,0,Lochaber (Scotland),Severe,Snowmelt & Heavy Rainfall,T,1,MET,,1,,,,,,,,,1,,,
805,M805,1947,December,0,,,,,,MET,,,,,,,,,,,,,,
806,M806,1948,January,0,,,,,,MET,,,,,,,,,,,,,,
807,M807,1948,February,0,,,,,,MET,,,,,,,,,,,,,,
808,M808,1948,March,0,,,,,,MET,,,,,,,,,,,,,,
809,M809,1948,April,0,,,,,,MET,,,,,,,,,,,,,,
810,M810,1948,May,0,,,,,,MET,,,,,,,,,,,,,,
811,M811,1948,June,0,,,,,,MET,,,,,,,,,,,,,,
812,M812,1948,July,0,Scotland,,Heavy Rainfall,T,1,MET,1,,,,,,,,,,1,,,
813,M813,1948,August,0,Tweed Valley (Berwick (Northumberland) & Kelso (Scottish Borders)),Destructive with heavy damage to crops farms & villages & railway bridges washed away,Heavy Rainfall,T,1,MET,,,1,1,,,,1,,,1,,,
814,M814,1948,September,0,,,,,,MET,,,,,,,,,,,,,,
815,M815,1948,October,0,,,,,,MET,,,,,,,,,,,,,,
816,M816,1948,November,0,,,,,,MET,,,,,,,,,,,,,,
817,M817,1948,December,0,,,,,,MET,,,,,,,,,,,,,,
818,M818,1949,January,0,,,,,,MET,,,,,,,,,,,,,,
819,M819,1949,February,0,,,,,,MET,,,,,,,,,,,,,,
820,M820,1949,March,0,Thames estuary,Severe flooding,Gales & exceptionally high Tide,C,1,MET,,1,,1,,,,,,,,1,,
821,M821,1949,April,0,,,,,,MET,,,,,,,,,,,,,,
822,M822,1949,May,0,,,,,,MET,,,,,,,,,,,,,,
823,M823,1949,June,0,,,,,,MET,,,,,,,,,,,,,,
824,M824,1949,July,0,Scotland & Devon & Cambridgeshire,Considerable flooding,Thunderstorms & Heavy Rainfall,T,1,MET,1,,,1,1,,,,,,1,1,,
825,M825,1949,August,0,,,,,,MET,,,,,,,,,,,,,,
826,M826,1949,September,0,,,,,,MET,,,,,,,,,,,,,,
827,M827,1949,October,0,,,,,,MET,,,,,,,,,,,,,,
828,M828,1949,November,0,,,,,,MET,,,,,,,,,,,,,,
829,M829,1949,December,0,Scotland,Flooding & damage,Heavy Rainfall,T,1,MET,1,,,,,,,,,,1,,,
830,M830,1950,January,0,,,,,,MET,,,,,,,,,,,,,,
831,M831,1950,February,0,"[Unspecified] ""Some areas""",Considerable,Heavy Rainfall & Snowmelt (Scotland),T,1,MET,1,,,,,,,,,,,,,1
832,M832,1950,March,0,,,,,,MET,,,,,,,,,,,,,,
833,M833,1950,April,0,,,,,,MET,,,,,,,,,,,,,,
834,M834,1950,May,0,Wendover (Buckinghamshire) to Linsdale (Bedfordshire),,Thunderstorms,T,1,MET,1,,,1,1,,0,,,,,1,,
835,M835,1950,June,0,,,,,,MET,,,,,,,,,,,,,,
836,M836,1950,July,0,,,,,,MET,,,,,,,,,,,,,,
837,M837,1950,August,0,,,,,,MET,,,,,,,,,,,,,,
838,M838,1950,September,0,[Unspecified] Many parts,Serious with damaged harvest,Heavy Rainfall,T,1,MET,,,1,,,,,,,,,,,1
839,M839,1950,October,0,,,,,,MET,,,,,,,,,,,,,,
840,M840,1950,November,0,,,,,,MET,,,,,,,,,,,,,,
841,M841,1950,December,0,,,,,,MET,,,,,,,,,,,,,,
842,M842,1951,January,0,,,,,,MET,,,,,,,,,,,,,,
843,M843,1951,February,0,,,,,,MET,,,,,,,,,,,,,,
844,M844,1951,March,0,,,,,,MET,,,,,,,,,,,,,,
845,M845,1951,April,0,,,,,,MET,,,,,,,,,,,,,,
846,M846,1951,May,0,,,,,,MET,,,,,,,,,,,,,,
847,M847,1951,June,0,,,,,,MET,,,,,,,,,,,,,,
848,M848,1951,July,0,,,,,,MET,,,,,,,,,,,,,,
849,M849,1951,August,0,,,,,,MET,,,,,,,,,,,,,,
850,M850,1951,September,0,,,,,,MET,,,,,,,,,,,,,,
851,M851,1951,October,0,,,,,,MET,,,,,,,,,,,,,,
852,M852,1951,November,0,[Unspecified] Many parts,Severe,Heavy Rainfall,T,1,MET,,1,,,,,,,,,,,,1
853,M853,1951,December,0,,,,,,MET,,,,,,,,,,,,,,
854,M854,1952,January,0,,,,,,MET,,,,,,,,,,,,,,
855,M855,1952,February,0,,,,,,MET,,,,,,,,,,,,,,
856,M856,1952,March,0,,,,,,MET,,,,,,,,,,,,,,
857,M857,1952,April,0,South-Western England & Wales,Localised flooding,Thunderstorms,T,1,MET,1,,,1,,1,,,,,,,1,
858,M858,1952,May,0,[Unspecified] Many places,Localised flooding,Thunderstorms,T,1,MET,1,,,,,,,,,,,,,1
859,M859,1952,June,0,,,,,,MET,,,,,,,,,,,,,,
860,M860,1952,July,0,,,,,,MET,,,,,,,,,,,,,,
861,M861,1952,August,0,Lynmouth & Devon/Somerset,Washed away bridges & caused great destruction with many lives lost (Lynmouth) (Loss of life),Heavy Rainfall,T,1,MET,,,1,1,,,,,,,,,1,
862,M862,1952,August,0,London area & home counties,Considerable,Thunderstorms,T,1,MET,1,,,1,,,,,,,,1,,
863,M863,1952,September,0,,,,,,MET,,,,,,,,,,,,,,
864,M864,1952,October,0,,,,,,MET,,,,,,,,,,,,,,
865,M865,1952,November,0,Sussex,Serious,Heavy Rainfall,T,1,MET,,,1,1,,,,,,,,1,,
866,M866,1952,December,0,,,,,,MET,,,,,,,,,,,,,,
867,M867,1953,January,0,England East Coast & Netherlands,Unprecedented coastal damage & heavy loss of life,Strong (Northern-Westerly) gales & high Tides,C,1,MET,,,1,1,1,,,1,,,,1,,
868,M868,1953,February,0,,,,,,MET,,,,,,,,,,,,,,
869,M869,1953,March,0,,,,,,MET,,,,,,,,,,,,,,
870,M870,1953,April,0,,,,,,MET,,,,,,,,,,,,,,
871,M871,1953,May,0,Northern & Central districts & Western Scotland,Much damage,Thunderstorms,T,1,MET,1,,,1,1,,1,1,1,,1,,,
872,M872,1953,June,0,[Unspecified] Many places,Severe Localised floods & considerable damage,Severe Thunderstorms,T,1,MET,,1,,,,,,,,,,,,1
873,M873,1953,July,0,Western & Southern England,Damage,Heavy Rainfall,T,1,MET,1,,,1,,,1,,1,,,1,1,
874,M874,1953,July,0,[Unspecified],Localised damage & some loss of life,Thunderstorms,T,1,MET,,,1,,,,,,,,,,,1
875,M875,1953,August,0,,,,,,MET,,,,,,,,,,,,,,
876,M876,1953,September,0,,,,,,MET,,,,,,,,,,,,,,
877,M877,1953,October,0,,,,,,MET,,,,,,,,,,,,,,
878,M878,1953,November,0,,,,,,MET,,,,,,,,,,,,,,
879,M879,1953,December,0,Scotland,,Heavy Rainfall,T,1,MET,1,,,,,,,,,1,1,,,
880,M880,1954,January,0,Southern Scotland & Northern England,Some flooding,Heavy Rainfall,T,1,MET,1,,,1,,,,1,1,,1,,,
881,M881,1954,February,0,,,,,,MET,,,,,,,,,,,,,,
882,M882,1954,March,0,,,,,,MET,,,,,,,,,,,,,,
883,M883,1954,April,0,,,,,,MET,,,,,,,,,,,,,,
884,M884,1954,May,0,[Unspecified] Many places,Localised flooding,Thunderstorms,T,1,MET,1,,,,,,,,,,,,,1
885,M885,1954,June,0,,,,,,MET,,,,,,,,,,,,,,
886,M886,1954,July,0,,,,,,MET,,,,,,,,,,,,,,
887,M887,1954,August,0,[Unspecified] Some areas,Considerable flooding,Heavy Rainfall,T,1,MET,1,,,,,,,,,,,,,1
888,M888,1954,September,0,,,,,,MET,,,,,,,,,,,,,,
889,M889,1954,October,0,North-Western England & Northern Wales & Southern Scotland,Severe & Widespread,Heavy Rainfall,T,1,MET,,1,,1,,1,,,1,,1,,,
890,M890,1954,November,0,Hull,Serious flooding,High Tides,C,1,MET,,,1,1,,,,1,,,,,,
891,M891,1954,November,0,[Unspecified] Many parts,Serious,Rainfall,T,1,MET,1,,,,,,,,,,,,,1
892,M892,1954,December,0,,,,,,MET,,,,,,,,,,,,,,
893,M893,1955,January,0,,,,,,MET,,,,,,,,,,,,,,
894,M894,1955,February,0,,,,,,MET,,,,,,,,,,,,,,
895,M895,1955,March,0,Renfrewshire-Clyde area (Scotland),Widespread,Considerable Rainfall & Snowmelt,T,1,MET,1,,,,,,,,,,1,,,
896,M896,1955,March,0,Midlands,Serious,Rainfall & Snowmelt,T,1,MET,,,1,1,,,1,,,,,,,
897,M897,1955,April,0,,,,,,MET,,,,,,,,,,,,,,
898,M898,1955,May,0,,,,,,MET,,,,,,,,,,,,,,
899,M899,1955,June,0,,,,,,MET,,,,,,,,,,,,,,
900,M900,1955,July,0,Southern Dorset,Severe,Heavy storms,T,1,MET,,1,,1,,,,,,,,,1,
901,M901,1955,August,0,,,,,,MET,,,,,,,,,,,,,,
902,M902,1955,September,0,,,,,,MET,,,,,,,,,,,,,,
903,M903,1955,October,0,,,,,,MET,,,,,,,,,,,,,,
904,M904,1955,November,0,,,,,,MET,,,,,,,,,,,,,,
905,M905,1955,December,0,,,,,,MET,,,,,,,,,,,,,,
906,M906,1956,January,0,,,,,,MET,,,,,,,,,,,,,,
907,M907,1956,February,0,,,,,,MET,,,,,,,,,,,,,,
908,M908,1956,March,0,,,,,,MET,,,,,,,,,,,,,,
909,M909,1956,April,0,,,,,,MET,,,,,,,,,,,,,,
910,M910,1956,May,0,,,,,,MET,,,,,,,,,,,,,,
911,M911,1956,June,0,,,,,,MET,,,,,,,,,,,,,,
912,M912,1956,July,0,[Unspecified] Many places,Considerable,Storms,T,1,MET,1,,,,,,,,,,,,,1
913,M913,1956,August,0,Tunbridge Wells,Depth of 4 ft accumulated over an hour,Thunderstorms,T,1,MET,1,,,1,,,,,,,,1,,
914,M914,1956,August,0,Northern England & Southern Scotland,Widespread,Rainfall,T,1,MET,1,,,1,,,,1,1,,1,,,
915,M915,1956,September,0,,,,,,MET,,,,,,,,,,,,,,
916,M916,1956,October,0,London & surrounding areas,Localised flooding,Substantial Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
917,M917,1956,November,0,,,,,,MET,,,,,,,,,,,,,,
918,M918,1956,December,0,Severn Valley,,Heavy Rainfall & Snowmelt,T,1,MET,1,,,1,,1,1,,,,,,,
919,M919,1957,January,0,,,,,,MET,,,,,,,,,,,,,,
920,M920,1957,February,0,Thames Valley,Extensive,Heavy Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
921,M921,1957,March,0,,,,,,MET,,,,,,,,,,,,,,
922,M922,1957,April,0,,,,,,MET,,,,,,,,,,,,,,
923,M923,1957,May,0,,,,,,MET,,,,,,,,,,,,,,
924,M924,1957,June,0,,,,,,MET,,,,,,,,,,,,,,
925,M925,1957,July,0,[Unspecified] Many areas,Widespread floods,Heavy Thunderstorms,T,1,MET,1,,,,,,,,,,,,,1
926,M926,1957,August,0,Kingston-Teddington area (London),Considerable,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
927,M927,1957,September,0,,,,,,MET,,,,,,,,,,,,,,
928,M928,1957,October,0,Wales & Northern-Western England,,Heavy Rainfall,T,1,MET,1,,,1,,1,,,1,,,,,
929,M929,1957,November,0,Midlands,,Torrential Rainfall,T,1,MET,1,,,1,,,1,,,,,,,
930,M930,1957,December,0,,,,,,MET,,,,,,,,,,,,,,
931,M931,1958,January,0,Many Northern areas,,Heavy Rainfall,T,1,MET,1,,,1,,,,1,1,1,1,,,
932,M932,1958,February,0,,,,,,MET,,,,,,,,,,,,,,
933,M933,1958,March,0,,,,,,MET,,,,,,,,,,,,,,
934,M934,1958,April,0,,,,,,MET,,,,,,,,,,,,,,
935,M935,1958,May,0,,,,,,MET,,,,,,,,,,,,,,
936,M936,1958,June,0,Boscastle (Cornwall),Severe,Heavy Rainfall,T,1,MET,,1,,1,,,,,,,,,1,
937,M937,1958,June,0,East Anglia,Severe,Heavy Rainfall,T,1,MET,,1,,1,1,,,,,,,,,
938,M938,1958,July,0,[Unspecified] Many places,,Rainfall,T,1,MET,1,,,,,,,,,,,,,1
939,M939,1958,August,0,Scotland & Northern-Western England,,Violent Thunderstorms,T,1,MET,1,,,1,,,,,1,,1,,,
940,M940,1958,August,0,Devon & Cornwall & Yorkshire,,Heavy Thunderstorms,T,1,MET,1,,,1,,,,1,,,,,1,
941,M941,1958,August,0,South-Eastern England,,Thunderstorms,T,1,MET,1,,,1,,,,,,,,1,,
942,M942,1958,September,0,[Unspecified] Many areas,,Rainfall,T,1,MET,1,,,,,,,,,,,,,1
943,M943,1958,October,0,,,,,,MET,,,,,,,,,,,,,,
944,M944,1958,November,0,,,,,,MET,,,,,,,,,,,,,,
945,M945,1958,December,0,,,,,,MET,,,,,,,,,,,,,,
946,M946,1959,January,0,,,,,,MET,,,,,,,,,,,,,,
947,M947,1959,February,0,,,,,,MET,,,,,,,,,,,,,,
948,M948,1959,March,0,,,,,,MET,,,,,,,,,,,,,,
949,M949,1959,April,0,,,,,,MET,,,,,,,,,,,,,,
950,M950,1959,May,0,,,,,,MET,,,,,,,,,,,,,,
951,M951,1959,June,0,,,,,,MET,,,,,,,,,,,,,,
952,M952,1959,July,0,,,,,,MET,,,,,,,,,,,,,,
953,M953,1959,August,0,,,,,,MET,,,,,,,,,,,,,,
954,M954,1959,September,0,,,,,,MET,,,,,,,,,,,,,,
955,M955,1959,October,0,,,,,,MET,,,,,,,,,,,,,,
956,M956,1959,November,0,,,,,,MET,,,,,,,,,,,,,,
957,M957,1959,December,0,,,,,,MET,,,,,,,,,,,,,,
958,M958,1960,January,0,,,,,,MET,,,,,,,,,,,,,,
959,M959,1960,February,0,,,,,,MET,,,,,,,,,,,,,,
960,M960,1960,March,0,,,,,,MET,,,,,,,,,,,,,,
961,M961,1960,April,0,,,,,,MET,,,,,,,,,,,,,,
962,M962,1960,May,0,,,,,,MET,,,,,,,,,,,,,,
963,M963,1960,June,0,Many places esp. Midlands,Extensive with much damage to property & livestock,Torrential Rainfall,T,1,MET,1,,,1,,,1,,,,,,,
964,M964,1960,July,0,,,,,,MET,,,,,,,,,,,,,,
965,M965,1960,August,0,Sussex,Widespread & damaging,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
966,M966,1960,August,0,Midlands & Northern Ireland & South-Western Scotland,Disastrous,Heavy Rainfall,T,1,MET,,,1,1,,,1,,,1,1,,,
967,M967,1960,September,0,Western Scotland,Extensive,Rainfall,T,1,MET,1,,,,,,,,,,1,,,
968,M968,1960,September,0,Exeter,Disastrous series of floods,Exceptionally Heavy Rainfall,T,1,MET,,,1,1,,,,,,,,,1,
969,M969,1960,October,0,South-Eastern & South-Western England,Extensive,Rainfall,T,1,MET,1,,,1,,,,,,,,1,1,
970,M970,1960,October,0,[Unspecified] Many places,,Rainfall,T,1,MET,1,,,,,,,,,,,,,1
971,M971,1960,November,0,Kent & Sussex,Extensive,Heavy Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
972,M972,1960,November,0,Western England,,Rainfall,T,1,MET,1,,,1,,,1,,1,,,,1,
973,M973,1960,December,0,Glamorgan (Wales) & Midlands & Southern England,Serious & Widespread,Rainfall,T,1,MET,,,1,1,,1,1,,,,,1,1,
974,M974,1961,January,0,,,,,,MET,,,,,,,,,,,,,,
975,M975,1961,February,0,,,,,,MET,,,,,,,,,,,,,,
976,M976,1961,March,0,,,,,,MET,,,,,,,,,,,,,,
977,M977,1961,April,0,,,,,,MET,,,,,,,,,,,,,,
978,M978,1961,May,0,,,,,,MET,,,,,,,,,,,,,,
979,M979,1961,June,0,,,,,,MET,,,,,,,,,,,,,,
980,M980,1961,July,0,North-Western England & Midlands,,Rainfall,T,1,MET,1,,,1,,,1,,1,,,,,
981,M981,1961,August,0,Glasgow (Scotland),Serious,Rainfall,T,1,MET,,,1,,,,,,,,1,,,
982,M982,1961,September,0,,,,,,MET,,,,,,,,,,,,,,
983,M983,1961,October,0,Southern England,Widespread,Heavy Rainfall,T,1,MET,1,,,1,,,,,,,,1,1,
984,M984,1961,October,0,Western Britain,,Heavy Rainfall,T,1,MET,1,,,1,,1,0,,1,1,1,,1,
985,M985,1961,November,0,,,,,,MET,,,,,,,,,,,,,,
986,M986,1961,December,0,,,,,,MET,,,,,,,,,,,,,,
987,M987,1962,January,0,Western Scotland,Considerable,Rainfall,T,1,MET,1,,,,,,,,,,1,,,
988,M988,1962,February,0,,,,,,MET,,,,,,,,,,,,,,
989,M989,1962,March,0,South-Western England & Wales,Serious damage to sea walls & disastrous flooding,Gales & high Tides,C,1,MET,,,1,1,,1,,,,,,,1,
990,M990,1962,April,0,,,,,,MET,,,,,,,,,,,,,,
991,M991,1962,May,0,Midlands,Flood damage,Thunderstorms,T,1,MET,1,,,1,,,1,,,,,,,
992,M992,1962,June,0,,,,,,MET,,,,,,,,,,,,,,
993,M993,1962,July,0,Central & Southern England,,Heavy & prolonged Rainfall,T,1,MET,1,,,1,1,,1,,,,,1,1,
994,M994,1962,July,0,South-Eastern England,,Violent Thunderstorms,T,1,MET,1,,,1,,,,,,,,1,,
995,M995,1962,August,0,Lake district & Southern Scotland,,Heavy Rainfall,T,1,MET,1,,,1,,,,,1,,1,,,
996,M996,1962,August,0,Lake district & parts of Scotland,,Rainfall,T,1,MET,1,,,1,,,,,1,,1,,,
997,M997,1962,September,0,,,,,,MET,,,,,,,,,,,,,,
998,M998,1962,October,0,,,,,,MET,,,,,,,,,,,,,,
999,M999,1962,November,0,,,,,,MET,,,,,,,,,,,,,,
1000,M1000,1962,December,0,,,,,,MET,,,,,,,,,,,,,,
